"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date"
"Resort Hotel",0,5,2017,"August",34,24,1,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","240",NULL,0,"Transient","269",0,3,"Check-Out","2017-08-28"
"City Hotel",0,0,2017,"August",32,8,0,1,2,2,0,"BB","PRT","Direct","Direct",0,0,0,"G","G",0,"No Deposit",NULL,NULL,0,"Transient","269",0,0,"Check-Out","2017-08-09"
"Resort Hotel",1,57,2016,"August",33,13,2,4,2,2,0,"BB","MAR","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","269",0,0,"Canceled","2016-07-26"
"Resort Hotel",1,148,2016,"August",33,7,2,4,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","269",0,0,"Canceled","2016-06-14"
"Resort Hotel",1,52,2016,"August",33,7,2,3,2,2,0,"BB","RUS","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","269",0,0,"Canceled","2016-07-08"
"Resort Hotel",0,1,2017,"August",32,8,0,1,2,0,0,"BB","LUX","Direct","Direct",0,0,0,"H","H",0,"No Deposit","250",NULL,0,"Transient","269",0,1,"Check-Out","2017-08-09"
"Resort Hotel",0,58,2016,"August",34,16,1,5,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"G","G",1,"No Deposit","240",NULL,0,"Transient","269",0,1,"Check-Out","2016-08-22"
"Resort Hotel",0,55,2016,"August",33,10,0,1,2,2,0,"BB","ESP","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","269",1,0,"Check-Out","2016-08-11"
"Resort Hotel",0,0,2017,"July",30,27,1,3,2,1,0,"BB","CHE","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","240",NULL,0,"Transient-Party","269",1,2,"Check-Out","2017-07-31"
"Resort Hotel",0,53,2016,"August",33,7,1,0,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient-Party","269",0,1,"Check-Out","2016-08-08"
"Resort Hotel",0,4,2016,"August",35,25,0,2,2,1,0,"BB","FRA","Direct","Direct",0,0,0,"G","G",0,"No Deposit",NULL,NULL,0,"Transient","269",0,0,"Check-Out","2016-08-27"
"Resort Hotel",0,53,2016,"August",33,7,1,0,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient-Party","269",0,1,"Check-Out","2016-08-08"
"Resort Hotel",1,119,2017,"August",31,5,2,2,2,2,0,"BB","USA","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","240",NULL,0,"Transient","269",0,2,"Canceled","2017-04-20"
"Resort Hotel",1,6,2016,"August",35,25,0,1,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"G","G",0,"No Deposit",NULL,NULL,0,"Transient","269",0,0,"Canceled","2016-08-25"
"City Hotel",0,7,2017,"April",15,13,0,2,3,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","9",NULL,0,"Transient","269",1,2,"Check-Out","2017-04-15"
"Resort Hotel",1,128,2017,"August",32,6,2,3,2,2,0,"BB","GEO","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","240",NULL,0,"Transient","269",0,1,"Canceled","2017-04-01"
"Resort Hotel",0,74,2016,"August",35,27,2,3,3,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"D","D",1,"No Deposit","242",NULL,0,"Transient","269",0,2,"Check-Out","2016-09-01"
"Resort Hotel",1,42,2016,"August",35,27,2,2,2,2,0,"BB","MAR","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","269",0,0,"Canceled","2016-08-01"
"City Hotel",0,4,2017,"April",14,6,0,3,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9",NULL,0,"Transient","269",0,0,"Check-Out","2017-04-09"
"Resort Hotel",0,139,2016,"August",34,15,3,5,2,2,0,"BB","ESP","Online TA","TA/TO",0,0,0,"G","G",1,"No Deposit","240",NULL,0,"Transient","268.75",1,1,"Check-Out","2016-08-23"
"City Hotel",0,207,2017,"July",30,29,1,1,3,1,0,"BB","GBR","Direct","Direct",0,0,0,"G","G",0,"No Deposit","14",NULL,0,"Transient","268.5",1,0,"Check-Out","2017-07-31"
"Resort Hotel",0,26,2016,"August",35,22,1,0,2,1,0,"BB","PRT","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",NULL,NULL,0,"Transient","268.5",1,1,"Check-Out","2016-08-23"
"Resort Hotel",0,14,2016,"August",33,9,0,4,3,0,0,"BB","GBR","Direct","Direct",0,0,0,"A","A",1,"No Deposit","250",NULL,0,"Transient","268.5",0,1,"Check-Out","2016-08-13"
"Resort Hotel",0,4,2016,"August",32,4,0,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240",NULL,0,"Transient-Party","268.33",0,0,"Check-Out","2016-08-07"
"City Hotel",0,19,2017,"May",21,21,2,1,3,0,0,"BB","PRT","Direct","Direct",0,0,0,"G","G",1,"No Deposit","14",NULL,0,"Transient","268.33",0,1,"Check-Out","2017-05-24"
"Resort Hotel",0,5,2017,"August",34,21,1,0,2,0,0,"HB","PRT","Direct","Direct",0,0,0,"E","H",1,"No Deposit","250",NULL,0,"Transient","268.3",1,1,"Check-Out","2017-08-22"
"City Hotel",0,2,2015,"December",53,30,0,3,2,1,1,"HB","PRT","Direct","Direct",0,0,0,"E","E",1,"No Deposit",NULL,NULL,0,"Transient","268.17",0,3,"Check-Out","2016-01-02"
"Resort Hotel",1,181,2017,"August",34,22,0,5,2,2,0,"HB","FRA","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","240",NULL,0,"Transient","268",0,0,"Canceled","2017-06-12"
"Resort Hotel",1,161,2017,"August",34,20,2,3,2,0,0,"HB","ITA","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","240",NULL,0,"Transient","268",0,0,"Canceled","2017-03-12"
"Resort Hotel",0,9,2015,"August",32,6,0,3,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"G","C",2,"No Deposit","240",NULL,0,"Transient","268",1,1,"Check-Out","2015-08-09"
"Resort Hotel",0,176,2017,"August",32,7,1,5,2,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","240",NULL,0,"Transient","268",0,2,"Check-Out","2017-08-13"
"Resort Hotel",0,2,2017,"July",30,25,0,5,2,0,0,"HB","PRT","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","240",NULL,0,"Transient","268",1,1,"Check-Out","2017-07-30"
"City Hotel",0,53,2017,"February",5,3,1,2,3,2,0,"HB","ESP","Direct","Direct",0,0,0,"G","G",1,"No Deposit","14",NULL,0,"Transient","268",0,1,"Check-Out","2017-02-06"
"Resort Hotel",0,23,2016,"August",32,6,2,2,3,0,0,"BB","USA","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","240",NULL,0,"Transient","268",1,3,"Check-Out","2016-08-10"
"Resort Hotel",0,155,2017,"July",31,31,2,5,2,2,0,"HB","PRT","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","240",NULL,0,"Transient","268",0,3,"Check-Out","2017-08-07"
"Resort Hotel",0,17,2016,"August",33,8,1,3,2,0,0,"HB","CN","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240",NULL,0,"Transient-Party","268",0,2,"Check-Out","2016-08-12"
"City Hotel",0,32,2017,"May",18,6,2,5,2,0,0,"BB","NOR","Online TA","TA/TO",0,0,0,"F","F",1,"No Deposit","9",NULL,0,"Transient","267.86",0,0,"Check-Out","2017-05-13"
"Resort Hotel",1,148,2017,"July",30,26,2,5,2,2,0,"BB","GBR","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","267.86",0,0,"Canceled","2017-03-01"
"Resort Hotel",0,164,2017,"August",33,13,2,5,2,0,0,"FB","PRT","Direct","Direct",0,0,0,"D","D",1,"No Deposit","250",NULL,0,"Transient","267.5",1,1,"Check-Out","2017-08-20"
"Resort Hotel",0,6,2017,"August",34,24,1,3,2,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"D","E",0,"No Deposit","240",NULL,0,"Transient","267",0,2,"Check-Out","2017-08-28"
"City Hotel",1,194,2017,"April",15,15,2,1,2,2,0,"HB","GBR","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9",NULL,0,"Transient","267",0,0,"Canceled","2016-10-03"
"City Hotel",0,11,2016,"July",28,4,1,0,2,3,0,"BB","USA","Direct","Direct",0,0,0,"G","G",0,"No Deposit",NULL,NULL,0,"Transient","267",0,3,"Check-Out","2016-07-05"
"Resort Hotel",1,49,2015,"August",32,7,0,2,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","267",0,0,"Canceled","2015-06-22"
"City Hotel",0,72,2017,"August",33,16,0,1,3,0,0,"HB","GBR","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9",NULL,0,"Transient","267",0,3,"Check-Out","2017-08-17"
"City Hotel",0,7,2016,"July",30,17,2,0,3,0,0,"BB","CHE","Direct","Direct",0,0,0,"G","G",0,"No Deposit","14",NULL,0,"Transient","267",0,0,"Check-Out","2016-07-19"
"City Hotel",1,38,2017,"June",25,22,0,3,3,0,0,"HB","SWE","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","9",NULL,0,"Transient","267",0,0,"Canceled","2017-05-15"
"City Hotel",1,61,2017,"May",21,24,0,4,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","7",NULL,0,"Transient","266.96",0,0,"Canceled","2017-05-09"
"City Hotel",1,25,2017,"August",33,16,0,1,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","7",NULL,0,"Transient","266.96",0,1,"Canceled","2017-08-02"
"City Hotel",0,54,2017,"August",35,27,3,5,1,0,0,"BB","JPN","Direct","Direct",0,0,0,"G","G",0,"No Deposit","14",NULL,0,"Transient","266.75",0,1,"Check-Out","2017-09-04"
"City Hotel",0,3,2016,"September",40,26,1,2,3,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"F","G",1,"No Deposit","9",NULL,0,"Transient","266.67",0,5,"Check-Out","2016-09-29"
"Resort Hotel",1,342,2017,"July",30,29,4,6,2,2,0,"HB","GBR","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","266.6",0,0,"Canceled","2016-08-21"
"Resort Hotel",1,358,2017,"July",30,29,4,6,2,2,0,"HB","GBR","Online TA","TA/TO",0,0,0,"G","G",2,"No Deposit","240",NULL,0,"Transient","266.6",0,0,"Canceled","2016-11-24"
"Resort Hotel",1,157,2017,"July",30,26,2,8,1,2,0,"HB","ESP","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","240",NULL,0,"Transient","266.5",0,1,"Canceled","2017-02-24"
"Resort Hotel",1,141,2016,"July",32,31,2,0,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","266.5",0,0,"Canceled","2016-04-19"
"Resort Hotel",1,75,2016,"August",34,16,0,4,3,1,0,"BB","ESP","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","266.5",0,0,"Canceled","2016-07-19"
"City Hotel",1,28,2017,"May",18,1,4,10,2,2,0,"BB","AGO","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9",NULL,0,"Transient","266.43",0,0,"Canceled","2017-04-03"
"Resort Hotel",0,250,2017,"August",34,23,2,4,2,1,0,"HB","ESP","Direct","Direct",0,0,0,"G","G",1,"No Deposit","250",NULL,0,"Transient","266.43",1,2,"Check-Out","2017-08-29"
"Resort Hotel",0,38,2015,"August",33,14,0,2,3,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"A","D",1,"No Deposit","242",NULL,0,"Transient","266.4",0,2,"Check-Out","2015-08-16"
"City Hotel",1,114,2016,"August",32,2,0,2,2,3,0,"BB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","8",NULL,0,"Transient","266.3",0,0,"Canceled","2016-04-11"
"City Hotel",1,114,2016,"August",32,2,0,2,2,3,0,"BB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","8",NULL,0,"Transient","266.3",0,0,"Canceled","2016-04-11"
"Resort Hotel",1,26,2017,"July",31,31,2,5,2,1,0,"BB","PRT","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","241",NULL,0,"Transient","266.3",0,1,"Canceled","2017-07-06"
"City Hotel",0,24,2017,"July",31,31,1,2,2,2,0,"HB","USA","Direct","Direct",0,0,0,"E","E",2,"No Deposit","14",NULL,0,"Transient","266.2",0,1,"Check-Out","2017-08-03"
"Resort Hotel",0,135,2016,"August",35,21,2,4,2,1,0,"HB","ESP","Direct","Direct",0,0,0,"F","F",0,"No Deposit","250",NULL,0,"Transient","266.1",1,0,"Check-Out","2016-08-27"
"Resort Hotel",0,8,2017,"August",35,30,0,2,2,0,0,"Undefined","PRT","Direct","Direct",0,0,0,"D","D",1,"No Deposit","250",NULL,0,"Transient","266.06",1,0,"Check-Out","2017-09-01"
"Resort Hotel",0,109,2017,"August",31,4,2,2,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240",NULL,0,"Transient","266",0,2,"Check-Out","2017-08-08"
"Resort Hotel",0,19,2017,"August",33,19,2,1,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240",NULL,0,"Transient","266",0,2,"Check-Out","2017-08-22"
"Resort Hotel",0,21,2015,"August",34,17,1,3,3,0,0,"BB","PRT","Direct","Direct",0,0,0,"F","F",1,"No Deposit","250",NULL,0,"Transient","266",0,1,"Check-Out","2015-08-21"
"Resort Hotel",1,22,2015,"August",33,14,2,5,2,0,0,"HB","PRT","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","240",NULL,0,"Transient","266",0,0,"Canceled","2015-08-05"
"City Hotel",0,10,2016,"May",22,26,0,3,2,2,0,"BB","PRT","Direct","Direct",0,0,0,"G","G",0,"No Deposit","14",NULL,0,"Transient","266",1,1,"Check-Out","2016-05-29"
"Resort Hotel",0,41,2017,"August",34,26,2,2,2,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240",NULL,0,"Transient","266",1,2,"Check-Out","2017-08-30"
"Resort Hotel",1,22,2017,"August",31,3,1,3,2,1,0,"BB","PRT","Direct","Direct",0,0,0,"E","E",0,"No Deposit",NULL,NULL,0,"Transient","266",0,2,"Canceled","2017-07-29"
"Resort Hotel",0,131,2017,"August",32,7,1,3,2,0,0,"BB","FRA","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit","240",NULL,0,"Transient","266",0,2,"Check-Out","2017-08-11"
"City Hotel",1,20,2016,"September",38,15,4,10,1,0,0,"BB","AGO","Direct","Direct",0,0,0,"G","G",0,"No Deposit","14",NULL,0,"Transient","265.93",0,0,"Canceled","2016-08-26"
"Resort Hotel",0,25,2017,"July",30,29,2,3,2,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","242",NULL,0,"Transient-Party","265.86",0,3,"Check-Out","2017-08-03"
"Resort Hotel",0,81,2016,"July",31,29,2,4,3,1,0,"BB","PRT","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","265.83",0,0,"Check-Out","2016-08-04"
"Resort Hotel",0,122,2016,"August",35,23,1,5,3,1,0,"BB","ESP","Online TA","TA/TO",0,0,0,"H","H",2,"No Deposit","240",NULL,0,"Transient","265.83",0,0,"Check-Out","2016-08-29"
"Resort Hotel",1,51,2016,"August",35,26,1,2,2,2,0,"BB","MAR","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","265.67",0,0,"Canceled","2016-07-07"
"City Hotel",0,13,2016,"July",29,13,2,7,3,0,0,"BB","FIN","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","8",NULL,0,"Transient","265.44",0,2,"Check-Out","2016-07-22"
"Resort Hotel",0,4,2017,"June",25,23,0,2,2,1,1,"Undefined","ESP","Direct","Direct",0,0,0,"C","C",2,"No Deposit","250",NULL,0,"Transient","265.25",1,2,"Check-Out","2017-06-25"
"City Hotel",0,22,2017,"May",21,24,0,2,2,0,0,"BB","GBR","Direct","Direct",0,0,0,"F","F",0,"No Deposit","14",NULL,0,"Transient","265",0,0,"Check-Out","2017-05-26"
"City Hotel",0,76,2017,"May",19,13,1,1,2,2,0,"BB","ESP","Direct","Direct",0,0,0,"G","G",0,"No Deposit","14",NULL,0,"Transient","265",0,0,"Check-Out","2017-05-15"
"Resort Hotel",0,181,2016,"August",33,7,4,8,3,0,0,"HB","PRT","Direct","Direct",0,0,0,"E","E",1,"No Deposit",NULL,NULL,0,"Transient-Party","265",0,2,"Check-Out","2016-08-19"
"Resort Hotel",0,14,2016,"August",34,15,1,4,2,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240",NULL,0,"Transient","265",0,2,"Check-Out","2016-08-20"
"Resort Hotel",1,120,2017,"August",35,28,1,5,3,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"D","D",2,"No Deposit","241",NULL,0,"Transient","265",0,0,"Canceled","2017-04-30"
"City Hotel",0,59,2017,"May",19,10,0,4,2,0,0,"BB","BEL","Online TA","TA/TO",0,0,0,"F","F",1,"No Deposit","9",NULL,0,"Transient","265",0,3,"Check-Out","2017-05-14"
"Resort Hotel",1,76,2017,"August",33,18,2,3,2,0,0,"BB","USA","Direct","Direct",0,0,0,"E","E",0,"No Deposit","250",NULL,0,"Transient","265",0,1,"Canceled","2017-08-04"
"City Hotel",0,0,2017,"June",24,12,1,0,2,0,0,"BB","GBR","Direct","Direct",0,0,0,"F","F",0,"No Deposit","14",NULL,0,"Transient","265",0,0,"Check-Out","2017-06-13"
"Resort Hotel",1,342,2017,"June",26,25,2,5,3,1,0,"BB","GBR","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","265",0,0,"Canceled","2016-07-18"
"City Hotel",1,64,2017,"June",26,26,1,0,3,0,0,"BB","USA","Direct","Direct",0,0,0,"F","F",0,"No Deposit","14",NULL,0,"Transient","265",0,0,"Canceled","2017-04-27"
"Resort Hotel",1,151,2017,"July",29,22,2,5,2,2,0,"BB","ROU","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","265",0,0,"Canceled","2017-03-22"
"Resort Hotel",1,3,2017,"July",27,8,2,2,3,1,0,"BB","PRT","Direct","Direct",0,0,0,"H","H",0,"No Deposit","250",NULL,0,"Transient","265",0,1,"Canceled","2017-07-05"
"Resort Hotel",0,64,2017,"August",34,23,0,4,2,0,0,"BB","USA","Direct","Direct",0,0,0,"E","E",2,"No Deposit","250",NULL,0,"Transient","265",0,1,"Check-Out","2017-08-27"
"City Hotel",0,0,2016,"July",28,8,2,2,2,2,0,"BB","AIA","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","8",NULL,0,"Transient","265",0,0,"Check-Out","2016-07-12"
"City Hotel",1,1,2017,"May",20,20,2,3,1,0,0,"BB","PRT","Direct","Direct",0,0,0,"F","F",1,"No Deposit",NULL,NULL,0,"Transient","265",0,0,"Canceled","2017-05-19"
"Resort Hotel",0,3,2017,"August",33,18,0,1,3,1,0,"BB","PRT","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","265",0,1,"Check-Out","2017-08-19"
"City Hotel",1,17,2017,"March",10,10,0,2,2,2,0,"HB","FRA","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9",NULL,0,"Transient","265",0,0,"Canceled","2017-02-21"
"City Hotel",0,39,2016,"April",16,16,1,1,2,2,0,"BB","AUS","Direct","Direct",0,0,0,"G","G",0,"No Deposit","14",NULL,0,"Transient","265",1,1,"Check-Out","2016-04-18"
"City Hotel",1,0,2017,"May",20,17,0,1,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"F","F",0,"No Deposit",NULL,NULL,0,"Transient","265",0,0,"Canceled","2017-05-17"
"Resort Hotel",0,68,2016,"September",36,2,0,1,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"E","F",1,"No Deposit","250",NULL,0,"Transient","265",0,0,"Check-Out","2016-09-03"
"Resort Hotel",0,273,2017,"August",32,7,3,7,2,2,0,"HB","FRA","Direct","Direct",0,0,0,"G","G",0,"No Deposit",NULL,NULL,0,"Transient-Party","264.6",0,1,"Check-Out","2017-08-17"
"Resort Hotel",0,59,2015,"August",35,27,2,3,2,2,1,"HB","PRT","Direct","Direct",0,0,0,"G","G",1,"No Deposit",NULL,NULL,0,"Transient","264.5",1,0,"Check-Out","2015-09-01"
"City Hotel",0,6,2017,"August",34,21,1,0,2,3,0,"BB","USA","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","7",NULL,0,"Transient","264.44",0,2,"Check-Out","2017-08-22"
"City Hotel",0,1,2017,"July",28,10,1,0,2,3,0,"BB","USA","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","7",NULL,0,"Transient","264.44",0,1,"Check-Out","2017-07-11"
"Resort Hotel",1,184,2017,"August",32,10,2,5,2,2,0,"BB","NLD","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","264.29",0,0,"Canceled","2017-02-11"
"Resort Hotel",0,13,2016,"August",34,15,1,3,2,1,0,"BB","PRT","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","242",NULL,0,"Transient","264.16",0,1,"Check-Out","2016-08-19"
"City Hotel",1,119,2016,"July",29,11,1,0,2,2,0,"HB","POL","Online TA","TA/TO",0,0,0,"F","F",1,"No Deposit","9",NULL,0,"Transient","264.1",0,0,"Canceled","2016-07-07"
"Resort Hotel",0,57,2017,"July",27,2,2,2,2,2,0,"BB","IND","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","264",1,2,"Check-Out","2017-07-06"
"Resort Hotel",1,0,2017,"August",33,14,1,0,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240",NULL,0,"Transient","264",0,0,"Canceled","2017-08-14"
"Resort Hotel",0,68,2017,"July",29,16,2,2,2,0,0,"HB","DNK","Direct","Direct",0,0,0,"F","F",3,"No Deposit","250",NULL,0,"Transient","264",0,1,"Check-Out","2017-07-20"
"Resort Hotel",1,133,2017,"August",33,16,2,5,2,0,0,"BB","CN","Direct","Direct",0,0,0,"F","F",0,"No Deposit","250",NULL,0,"Transient","264",0,2,"Canceled","2017-04-06"
"Resort Hotel",0,12,2017,"August",33,16,1,4,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","240",NULL,0,"Transient","264",0,2,"Check-Out","2017-08-21"
"Resort Hotel",1,77,2016,"September",37,5,1,2,3,1,0,"HB","PRT","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit","240",NULL,0,"Transient","264",0,0,"Canceled","2016-08-08"
"Resort Hotel",0,38,2017,"August",32,6,2,2,2,2,0,"BB","GBR","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","241",NULL,0,"Transient","264",0,2,"Check-Out","2017-08-10"
"Resort Hotel",0,191,2017,"August",34,21,1,3,2,2,0,"HB","GBR","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","240",NULL,0,"Transient","264",0,3,"Check-Out","2017-08-25"
"Resort Hotel",1,65,2017,"July",27,5,2,8,2,2,0,"BB","CHE","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","264",0,0,"Canceled","2017-05-06"
"Resort Hotel",0,27,2016,"July",31,29,2,2,2,2,0,"BB","USA","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","264",0,0,"Check-Out","2016-08-02"
"Resort Hotel",0,55,2017,"August",34,22,0,3,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240",NULL,0,"Transient","264",0,2,"Check-Out","2017-08-25"
"Resort Hotel",0,24,2017,"August",31,5,2,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240",NULL,0,"Transient","264",1,4,"Check-Out","2017-08-09"
"Resort Hotel",0,122,2017,"July",27,7,0,2,3,0,0,"BB","CN","Online TA","TA/TO",0,0,0,"H","H",1,"No Deposit","240",NULL,0,"Transient","264",1,0,"Check-Out","2017-07-09"
"Resort Hotel",1,15,2017,"August",31,2,0,4,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","240",NULL,0,"Transient","264",0,1,"Canceled","2017-07-19"
"City Hotel",0,23,2017,"August",33,18,0,1,3,1,0,"BB","FRA","Direct","Direct",0,0,0,"E","E",0,"No Deposit","14",NULL,0,"Transient","264",1,1,"Check-Out","2017-08-19"
"Resort Hotel",0,118,2017,"August",33,17,2,3,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit","240",NULL,0,"Transient","264",0,2,"Check-Out","2017-08-22"
"City Hotel",1,71,2016,"October",43,20,1,3,2,2,0,"BB","PRT","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","8",NULL,0,"Transient","263.91",0,0,"Canceled","2016-08-11"
"Resort Hotel",0,133,2016,"July",29,11,2,5,2,2,0,"Undefined","FRA","Direct","Direct",0,0,0,"C","C",0,"No Deposit","250",NULL,0,"Transient","263.57",1,0,"Check-Out","2016-07-18"
"City Hotel",0,4,2016,"June",25,16,0,1,2,2,0,"BB","FRA","Online TA","TA/TO",0,0,0,"B","B",2,"No Deposit","9",NULL,0,"Transient","263.55",0,0,"Check-Out","2016-06-17"
"City Hotel",1,75,2017,"May",20,18,0,3,2,2,0,"BB","CHE","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit","9",NULL,0,"Transient","263.33",0,0,"Canceled","2017-05-18"
"Resort Hotel",0,45,2017,"August",31,3,0,3,3,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit","242",NULL,0,"Transient","263.33",0,2,"Check-Out","2017-08-06"
"Resort Hotel",0,15,2016,"August",35,24,2,5,3,0,0,"FB","PRT","Online TA","TA/TO",0,0,0,"C","C",0,"No Deposit","196",NULL,0,"Transient","263.09",0,0,"Check-Out","2016-08-31"
"Resort Hotel",0,18,2017,"June",23,10,2,3,2,2,0,"HB","PRT","Direct","Direct",0,0,0,"G","G",4,"No Deposit","250",NULL,0,"Transient","263",0,1,"Check-Out","2017-06-15"
"Resort Hotel",1,85,2016,"August",33,13,2,3,2,2,0,"BB","ESP","Online TA","TA/TO",0,0,0,"G","G",0,"No Deposit","240",NULL,0,"Transient","263",0,0,"Canceled","2016-06-17"
"Resort Hotel",0,25,2016,"August",33,12,1,2,2,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit","240",NULL,0,"Transient","263",0,1,"Check-Out","2016-08-15"
